Program Name,Acronym,Agency,Prime Contractor,Contract Number,Contract Value,Contract Description,Match Confidence,Match Score,tango_piid,tango_description,pop_city,pop_state,pop_zip,pop_country,period_start,period_end,ultimate_completion,subawards_count,subawards_total,recipient_uei,recipient_name,naics_code,psc_code,set_aside,obligated,total_contract_value,parent_piid,parent_description,awarding_office,awarding_agency,funding_office
SDA Tranche-0 Constellation Support,SDA Tranche-0,DoD,"Multiple primes (Lockheed, York, SpaceX, L3Harris)",DOCDG133E09CN0094,"$1,826,479,031.57",GOES-R GROUND SYSTEM GEOSTATIONARY SATELLITE WEATHER NOAA,Medium,1,DOCDG133E09CN0094,"THE PURPOSE OF THIS CONTRACT IS TO DEVELOP THE GROUND SYSTEM THAT WILL SUPPORT NOAA S NEXT GENERATION GEOSTATIONARY SATELLITE SERIES, GOES-R. THIS NEW SERIES OF SPACECRAFT, SET TO BEGIN LAUNCHING IN 2015, IS EXPECTED TO DOUBLE THE CLARITY OF TODAY S SATELLITE IMAGERY AND PROVIDE AT LEAST 20 TIMES MORE ATMOSPHERIC OBSERVATIONS FROM SPACE. THE CONTRACTOR IS TO DESIGN, DEVELOP, TEST AND IMPLEMENT THE GOES-R GROUND SYSTEM. THE GROUND SYSTEM WILL CAPTURE DATA FROM THE GOES-R SATELLITES, AND PROCESS A",GREENBELT,MARYLAND,20771,UNITED STATES,2009-05-27,2024-01-31,2024-01-31,,,QM4EZDV15JL8,"L3HARRIS TECHNOLOGIES, INC.",541512,D302,NONE,"$1,826,479,031.57","$1,833,348,104.70",,,,,
Sentinel / GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,6,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Sentinel / GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,7,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Sentinel GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,7,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Sentinel GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,9,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Sentinel GBSD,GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,3,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Sentinel GBSD (AFNWC Hill AFB Variant),GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,4,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Sentinel GBSD (LGM-35A),GBSD / Sentinel,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,5,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Sentinel ICBM / GBSD,GBSD,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,High,7,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
Sentinel Program Cybersecurity Core,Sentinel Cyber,Air Force,Northrop Grumman,FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Medium,2,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
SITEC III – Enterprise Operations & Maintenance,SITEC III,SOCOM,Peraton,47QFCA24F0002,"$621,308,462.00",SITEC 3 EOM USSOCOM O&M SERVICES SPECIAL OPERATIONS IT,High,4,47QFCA24F0002,"SITEC 3 EOM PROVIDES USSOCOM WITH O&M SERVICES TO MAINTAIN NETOPS, MAINTAIN SYSTEMS & NETWORK INFRASTRUCTURE, PROVIDE END USER & COMMON DEVICE SUPPORT, PROVIDE CONFIGURATION, CHANGE, LICENSE, & ASSET MGMT. CONDUCT TRAINING AND PERFORM IMACS SERVICES.",TAMPA,FLORIDA,33621,UNITED STATES,2023-10-31,2026-05-16,2031-10-30,78,"$2,048,969,727.40",ZBPQEJVECCT4,PERATON INC.,541512,DG01,,"$621,308,462.00","$2,840,386,863.00",47QTCK18D0011,"IGF::OT::IGF  
GOVERNMENT-WIDE ACQUISITION CONTRACTS PROVIDE WORLDWIDE ACCESS TO IT SOLUTIONS SUCH AS SYSTEMS DESIGN, SOFTWARE ENGINEERING, INFORMATION ASSURANCE, AND ENTERPRISE ARCHITECTURE SOLUTIONS",GSA FAS AAS FEDSIM,Federal Acquisition Service,USSOCOM SOF ATL C4 ENTERPRISE
SOCOM Digital Applications Data Science Support,—,CIA,Iron Eagle X (now GDIT),19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Medium,1,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
SOCOM Enterprise IT Support,—,SOCOM,GDIT,19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
SOCOM Software Solutions IDIQ,—,SOCOM,Iron Eagle X (now GDIT),19AQMM18C0185,"$1,495,085,754.52",GLOBAL SECURITY ENGINEERING SUPPLY CHAIN SERVICES STATE DEPARTMENT GDIT,Low,0,19AQMM18C0185,GLOBAL SECURITY ENGINEERING&SUPPLY CHAIN SERVICES.,SPRINGFIELD,VIRGINIA,22150,UNITED STATES,2019-06-19,2029-08-07,2029-08-07,5952,"$4,515,398,091.95",SMNWM6HN79X5,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",541614,R706,NONE,"$1,495,085,754.52","$2,447,737,874.85",,,ACQUISITIONS - AQM MOMENTUM,Department of State,BUREAU OF DIPLOMATIC SECURITY
SPICE (Space Payload Integration & Cyber Eng),SPICE,Space Force,SAIC / LinQuest (indicative),FA877319FA023,"$39,874,973.53",ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES 688 OSS CYBER,Medium,1,FA877319FA023,OT ADVISORY AND ASSISTANCE PROFESSIONAL SERVICES IN SUPPORT OF THE 688 OSS,SAN ANTONIO,TEXAS,78243,UNITED STATES,2019-04-28,2025-10-27,2026-07-27,,,K3XCTTC4VDR5,MOSAIC TECHNOLOGIES GROUP LLC,541330,R425,,"$39,874,973.53","$47,518,825.61",GS00Q14OADS129,"ONE ACQUISITION SOLUTION FOR INTEGRATED SERVICES (OASIS) PROFESSIONAL SERVICES MULTIPLE AGENCY CONTRACT, IGF::OT::IGF",FA8773 ACC 38 CONS,Department of the Air Force,67 CW
SSA IT Support Services Contract,ITSSC,CIA,Leidos / Accenture Federal (indicative),28321322FDS030130,"$1,062,905,628.31",ITSSC TASK ORDER FOR SYSTEMS SSA,High,5,28321322FDS030130,ITSSC TASK ORDER FOR SYSTEMS,BALTIMORE,MARYLAND,21235,UNITED STATES,2022-06-30,2026-09-28,2028-03-31,85,"$276,743,216.28",MYKLJHTX3MM7,"LEIDOS, INC.",541519,DF01,,"$1,062,905,628.31","$1,204,191,613.00",SS001760016,"IGF::CL::IGF
MULTIPLE AWARD 10 YEAR, BASE AND OPTIONS, INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT FOR INFORMATION TECHNOLOGY SUPPORT SERVICES TO ASSIST THE AGENCY OFFICE OF THE DEPUTY COMMISSION",SSA OFC OF ACQUISITION  GRANTS,Social Security Administration,SSA OFC OF ACQUISITION  GRANTS
STRATCOM Mission Readiness Support,SMORS,IC,Northrop Grumman (assumed),FA821920C0006,"$10,801,259,923.19",GROUND-BASED STRATEGIC DETERRENT GBSD SENTINEL ENGINEERING MANUFACTURING DEVELOPMENT EMD ICBM,Medium,1,FA821920C0006,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D),ROY,UTAH,84067,UNITED STATES,2020-09-08,2029-03-10,2029-03-10,4019,"$27,743,434,931.93",D8QQPFNYJD63,NORTHROP GRUMMAN SYSTEMS CORP,336414,AC24,NONE,"$10,801,259,923.19","$13,360,972,363.51",,,FA8219   AFNWC PZBG,Department of the Air Force,F2DANX AFNWC NX SENTINEL GINV
STRATCOM SMORS,SMORS,DoD,BAE Systems,W56HZV08C0460,"$4,067,162,785.79",FAMILY OF MEDIUM TACTICAL VEHICLES FMTV TRUCK,Low,0,W56HZV08C0460,MEDIUM TACTICAL VEHICLES,SEALY,TEXAS,77474,UNITED STATES,2008-05-30,2024-09-30,2024-09-30,,,MJBJKUMUNBY7,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,336212,2320,NONE,"$4,067,162,785.79","$4,074,694,708.08",,,W4GG HQ US ARMY TACOM,Department of the Army,W4GG HQ US ARMY TACOM
SMORS – STRATCOM Mission Readiness Sustainment,SMORS,DoD,Northrop Grumman,F4261098C0001,"$10,009,419,769.13",MINUTEMAN III MISSILE SUSTAINMENT SPACE SYSTEMS,Medium,1,F4261098C0001,199807!5700!0128!GE50 !OGDEN ALC/LMK                   !F4261098C0001  !A!*!*                  !19971222!20120930!621385392!004179453!004179453!N!11982!TRW INC                       !1 SPACE PARK BLVD         !REDONDO BEACH       !CA!90278!60018!037!06!REDONDO BEACH       !LOS ANGELES           !CALIFORNIA!0001!+000000881011!N!N!000000000000!L014!TECH REP SVCS/GUIDED MISSILES                     !A2 !MISSILE AND SPACE SYSTEMS     !3CMU!LGM-30 MINUTEMAN              !8711!3!*!*!*!B!B!*!A !N!R!2!0,ROY,UTAH,84067,UNITED STATES,1997-12-22,2025-11-30,2025-11-30,,,TDJLWKKV1GJ3,TRW INC,541330,L014,NONE,"$9,497,754,606.48","$10,469,892,390.26",,,,,
